7.853981633974 0.001747586525238 -0.1047467504087   0.03196492076114 -0.1063577334388   
8.063421144214 0.001795853423042 -0.1026921431494   0.0307359281623 -0.1042318580895   
8.272860654453 0.001834861631023 -0.1007150036146   0.02956472425336 -0.1021814856035   
8.482300164692 0.001865511981187 -0.09881082679905   0.02844908612343 -0.1002017671189   
8.691739674932 0.001888616443053 -0.09697549526556   0.02738695918464 -0.0982885618182   
8.901179185171 0.001904915013209 -0.09520523283144   0.02637637391219 -0.09643830760761   
9.11061869541 0.001915087532783 -0.09349656473708   0.02541539192638 -0.09464790998262   
9.32005820565 0.00191976186079 -0.09184628343495   0.02450207457385 -0.09291464840965   
9.529497715889 0.001919519504483 -0.09025141921468   0.02363446812484 -0.09123609888781   
9.738937226128 0.001914899535924 -0.08870921496365   0.02281060071231 -0.08961007098527   
9.948376736368 0.001906401396546 -0.08721710444508   0.02202848709897 -0.08803455749126   
10.15781624661 0.0018944870239 -0.08577269355599   0.02128613823929 -0.08650769482328   
10.36725575685 0.001879582596265 -0.08437374410209   0.02058157334783 -0.08502773242496   
10.57669526709 0.001862080091982 -0.08301815969464   0.01991283282152 -0.08359300954541   
10.78613477732 0.001842338784911 -0.08170397343498   0.01927799086153 -0.08220193797501   
10.99557428756 0.001820686747634 -0.08042933710568   0.0186751670476 -0.08085298950601   
11.2050137978 0.001797422394245 -0.0791925116333   0.0181025364151 -0.07954468707472   
11.41445330804 0.001772816072892 -0.07799185862686   0.0175583378132 -0.07827559871785   
11.62389281828 0.001747111701911 -0.07682583282974   0.01704088048465 -0.07704433363367   
11.83333232852 0.001720528436605 -0.07569297535022   0.0165485489193 -0.07584953977701   
12.04277183876 0.001693262345696 -0.07459190755945   0.01607980610009 -0.07468990253615   
12.252211349 0.001665488081452 -0.07352132556451   0.01563319531128 -0.07356414413946   
12.46165085924 0.00163736052183 -0.07247999518036   0.01520734069009 -0.07247102352254   
12.67109036948 0.001609016370479 -0.07146674733713   0.01480094671582 -0.07140933645426   
12.88052987972 0.001580575699951 -0.07048047387001   0.0144127968202 -0.07037791577407   
13.08996938996 0.001552143426566 -0.06952012364773   0.01404175129091 -0.06937563163812   
13.2994089002 0.001523810710238 -0.06858469900152   0.0136867446365 -0.06840139169483   
13.50884841044 0.001495656270579 -0.06767325242647   0.01334678250614 -0.06745414118175   
13.71828792068 0.001467747626615 -0.06678488351646   0.01302093846038 -0.06653286277738   
13.92772743091 0.001440142219301 -0.06591873615079   0.0127083500992 -0.06563657669148   
14.13716694115 0.001412888550345 -0.06507399578322   0.01240821647262 -0.06476433941258   
14.34660645139 0.001386026930708 -0.06424988718408   0.01211979170879 -0.06391524570804   
14.55604596163 0.001359590978485 -0.06344567168092   0.0118423878685 -0.0630884218305   
14.76548547187 0.001333607001175 -0.06266064601246   0.01157535775003 -0.06228303847385   
14.97492498211 0.001308097790443 -0.06189413857995   0.01131811676087 -0.06149828313109   
15.18436449235 0.001283077532522 -0.06114551006896   0.01107009919638 -0.06073340493618   
15.39380400259 0.001258561951232 -0.06041414950071   0.01083080900233 -0.05998764733919   
15.60324351283 0.001234555274497 -0.0596994716848   0.01059976056283 -0.05926032517003   
15.81268302307 0.001211066843263 -0.05900092497066   0.01037651383917 -0.05855075684164   
16.02212253331 0.001188096644654 -0.05831796564186   0.01016067226554 -0.05785828760335   
16.23156204355 0.001165644362046 -0.05765009999335   0.009951839244009 -0.05718232558347   
16.44100155379 0.001143711108822 -0.05699682360916   0.009749669929274 -0.05652225762585   
16.65044106403 0.001122288337077 -0.05635768160316   0.009553844938745 -0.05587752476529   
16.85988057427 0.001101375300562 -0.05573222587477   0.009364042436805 -0.05524760691558   
17.0693200845 0.001080962283728 -0.05512001845707   0.009179981999856 -0.05463196108163   
